region,channel,service_type,plan_type,customer_type,address_verified,network_available,inventory_available,credit_check_passed,installation_required,monthly_charge,previous_failed_orders,order_result
West,Store,5G,Basic,New,1,1,1,1,1,105.44847500071043,0,0
East,Store,DSL,Premium,Existing,1,1,1,1,0,181.52053165080727,1,0
East,Store,Fiber,Basic,New,0,0,1,1,0,44.89430742383702,3,1
South,Online,5G,Premium,Existing,0,1,1,1,0,180.91435696875774,0,0
West,Store,5G,Standard,Existing,1,1,1,0,0,173.54824797175587,0,0
North,Online,Fiber,Basic,New,1,1,1,1,0,72.1465940931931,1,0
East,Phone,DSL,Premium,Existing,1,1,1,1,0,105.01784303993206,1,0
West,Store,Fiber,Basic,New,0,1,1,1,0,176.21739525115947,0,0
West,Store,5G,Standard,New,0,1,0,0,0,129.2903231432997,0,1
South,Store,5G,Basic,New,1,1,1,1,0,156.55287472847385,1,0
East,Phone,Fiber,Basic,Existing,1,1,1,1,1,64.98599252467748,1,0
East,Store,DSL,Premium,Existing,1,1,0,1,0,115.82476630325986,0,0
North,Online,DSL,Standard,Existing,1,1,1,1,1,121.77956572740506,1,0
East,Phone,DSL,Standard,New,0,1,1,1,0,55.17956432517476,0,0
North,Phone,Fiber,Standard,Existing,0,1,1,1,0,91.98532168341076,0,0
East,Phone,DSL,Basic,Existing,1,1,1,1,1,157.43817748145204,2,0
South,Phone,DSL,Premium,Existing,1,1,1,1,1,67.20712129005058,0,0
East,Phone,DSL,Basic,Existing,1,1,1,1,1,139.42654350145742,2,0
North,Online,DSL,Basic,Existing,1,1,1,1,0,51.98769700385172,2,0
North,Phone,5G,Basic,New,1,1,1,1,1,52.3774403140561,1,0
South,Store,Fiber,Standard,Existing,1,1,1,1,0,151.15050627460676,1,0
East,Phone,Fiber,Premium,Existing,1,1,1,1,0,198.81572737425702,0,0
East,Phone,DSL,Standard,Existing,1,1,1,1,1,98.17636439921488,1,0
South,Phone,Fiber,Basic,New,1,1,1,1,0,138.51508201260418,0,0
East,Phone,Fiber,Basic,Existing,1,1,0,1,1,139.06931069220792,2,0
East,Phone,5G,Premium,New,1,1,1,1,0,68.10298711940189,3,0
North,Online,Fiber,Standard,New,1,1,0,1,0,190.4715241029282,1,0
East,Online,5G,Basic,Existing,1,1,1,1,1,124.43841183831415,1,0
East,Phone,Fiber,Basic,New,0,1,0,1,0,102.53201025526492,1,0
South,Online,5G,Premium,New,1,1,1,1,0,61.56193946475733,0,0
South,Store,5G,Basic,New,1,1,1,1,0,129.97198926171404,0,0
West,Phone,Fiber,Standard,Existing,1,1,1,1,1,184.40700082911033,1,0
North,Store,5G,Standard,New,1,1,0,1,0,121.65322215596548,1,0
East,Store,5G,Basic,Existing,1,1,1,0,1,59.7273565806217,1,0
East,Phone,Fiber,Basic,Existing,1,1,1,1,1,84.40436785325745,1,0
West,Store,5G,Basic,New,1,1,1,1,1,198.01836128736997,0,0
East,Store,5G,Premium,New,1,1,1,1,1,104.21531587091486,0,0
North,Store,5G,Premium,New,1,0,1,1,1,197.6169087407836,1,0
West,Phone,5G,Standard,Existing,1,1,1,1,0,127.31781197325915,0,0
North,Phone,5G,Standard,Existing,1,1,1,1,1,153.62322790209214,1,0
West,Store,DSL,Basic,New,1,1,1,0,1,75.2812562826221,1,0
West,Phone,5G,Basic,New,1,1,1,1,1,197.9637269323165,2,0
South,Phone,5G,Basic,Existing,0,1,1,1,1,41.37523029662411,1,0
North,Store,5G,Premium,Existing,1,1,1,1,0,177.06404637376713,0,0
East,Phone,5G,Premium,Existing,1,1,1,1,0,150.16879407513534,2,0
East,Online,Fiber,Basic,New,1,1,0,1,0,145.47271928413346,1,0
North,Phone,DSL,Basic,New,1,1,1,1,0,90.4452456565676,1,0
East,Online,Fiber,Standard,Existing,0,1,1,1,0,69.76866168677546,0,0
East,Store,DSL,Premium,Existing,0,1,1,0,1,139.80615706813916,0,1
North,Phone,5G,Basic,New,1,1,1,1,1,186.43545002926817,1,0
West,Store,5G,Premium,Existing,1,1,1,1,0,80.08031978855696,1,0
North,Store,DSL,Basic,New,1,1,1,1,1,169.01575262794833,0,0
West,Store,DSL,Basic,Existing,1,1,1,1,0,54.157842241504675,2,0
East,Store,Fiber,Standard,Existing,1,1,1,1,0,78.8835141558355,1,0
East,Store,DSL,Standard,Existing,0,1,0,1,0,48.83279988875897,1,0
East,Phone,5G,Standard,Existing,1,1,1,1,1,101.14958310894207,0,0
South,Online,Fiber,Basic,New,1,1,1,1,0,151.40150466506228,0,0
West,Phone,DSL,Standard,Existing,1,1,1,1,0,119.32313996990386,0,0
South,Phone,DSL,Basic,Existing,0,1,1,1,1,126.05587098766492,0,0
South,Phone,Fiber,Premium,New,1,1,1,1,0,131.99351979928593,1,0
North,Phone,DSL,Premium,New,1,0,1,0,0,75.7346026842341,0,1
South,Online,5G,Basic,New,0,1,0,1,0,93.36122819975253,2,1
North,Phone,Fiber,Standard,Existing,0,1,0,0,0,112.78102756002292,0,1
North,Store,DSL,Standard,New,1,1,1,1,1,131.7977806754359,1,0
South,Phone,5G,Premium,Existing,1,1,1,1,0,175.53120475288335,0,0
West,Phone,DSL,Basic,New,1,1,0,0,0,113.89578347931709,0,1
West,Online,Fiber,Basic,Existing,1,1,1,1,0,163.03126740391076,0,0
West,Online,DSL,Basic,New,1,1,1,1,0,58.84840470404182,0,0
West,Store,DSL,Premium,New,1,1,1,1,1,60.764443394102926,1,0
West,Phone,DSL,Premium,New,0,0,1,1,0,86.10923586295833,0,1
South,Phone,5G,Standard,Existing,0,1,1,1,0,90.91076622850682,1,0
South,Phone,5G,Basic,Existing,1,1,1,1,0,140.20226208830206,0,0
East,Store,DSL,Basic,New,1,1,1,1,0,75.0913723579287,0,0
West,Online,DSL,Basic,Existing,0,0,1,1,1,62.61354874341359,2,1
South,Store,Fiber,Basic,Existing,1,1,1,1,0,143.34664232783805,3,0
East,Phone,DSL,Premium,Existing,1,1,1,1,0,199.5692201170287,2,0
West,Online,Fiber,Standard,Existing,1,1,1,1,0,198.7290669103545,0,0
North,Online,5G,Premium,Existing,1,1,1,1,0,187.52578714150883,2,0
East,Store,DSL,Standard,New,0,1,1,1,0,49.93106707248414,0,0
South,Online,Fiber,Basic,Existing,1,1,1,0,0,162.28520933495253,1,0
North,Online,5G,Basic,New,0,1,0,1,0,101.46718841604363,0,0
North,Phone,Fiber,Basic,New,1,1,1,1,1,171.55462193582298,0,0
North,Phone,5G,Basic,New,1,1,1,1,1,47.7401200414168,2,0
East,Online,DSL,Basic,Existing,1,1,1,1,0,173.91053019059234,0,0
South,Online,Fiber,Premium,Existing,1,1,1,1,1,139.16985220763766,1,0
North,Store,DSL,Standard,New,1,1,1,1,1,52.83080311591146,4,0
West,Store,Fiber,Premium,New,0,1,1,1,1,193.35079026468537,0,0
North,Online,5G,Basic,New,1,1,1,1,0,179.59989411336338,1,0
North,Phone,Fiber,Standard,New,1,1,1,1,0,150.25043718316994,2,0
East,Online,Fiber,Standard,Existing,0,1,0,1,1,99.07169046639939,1,0
East,Online,DSL,Basic,New,1,0,1,1,1,121.5500279875706,0,0
South,Phone,DSL,Standard,New,1,1,1,1,1,44.3671542185756,0,0
West,Phone,DSL,Premium,Existing,1,0,1,1,0,147.49737847574173,1,0
East,Store,5G,Premium,New,1,0,1,1,0,192.86156657997455,0,0
North,Store,DSL,Premium,Existing,1,1,1,1,0,74.98101558519564,1,0
South,Store,Fiber,Premium,New,1,1,0,1,0,105.2038747028604,1,0
North,Store,5G,Standard,Existing,0,1,1,1,0,177.89987094537304,0,0
North,Phone,DSL,Premium,Existing,1,1,1,1,0,50.58337300501732,1,0
East,Online,Fiber,Standard,Existing,1,1,1,0,0,91.19797276594971,1,0
South,Store,Fiber,Basic,New,1,1,1,1,0,190.63942614461837,0,0
West,Store,5G,Premium,Existing,1,1,1,1,0,163.03958262539697,2,0
West,Phone,Fiber,Basic,New,1,1,1,1,0,52.94732600697216,1,0
East,Phone,DSL,Premium,Existing,1,1,1,1,0,114.31344305077496,1,0
East,Online,Fiber,Basic,Existing,1,1,0,1,0,122.00583977301372,1,0
South,Online,DSL,Basic,Existing,1,1,1,1,0,158.46760004474658,1,0
West,Phone,DSL,Basic,New,1,1,0,1,1,74.3007218620971,1,0
West,Store,5G,Basic,Existing,1,1,0,1,0,77.69094152803694,0,0
West,Store,Fiber,Basic,Existing,1,1,1,1,1,176.42908765172683,0,0
North,Store,5G,Standard,Existing,1,1,1,1,1,75.90810933595911,0,0
West,Online,5G,Standard,Existing,1,1,1,1,1,111.60986170385368,0,0
North,Store,5G,Premium,New,1,1,1,1,1,151.21980301798175,1,0
South,Store,DSL,Standard,New,1,1,1,1,1,123.98212455466103,0,0
North,Phone,DSL,Basic,Existing,1,1,1,1,0,186.45704585801968,1,0
South,Store,DSL,Standard,Existing,1,1,0,1,0,121.78414571994402,0,0
West,Phone,DSL,Standard,Existing,1,1,0,0,1,73.20390877126042,0,1
West,Store,Fiber,Basic,Existing,1,1,1,1,1,173.0623237315916,0,0
South,Online,Fiber,Standard,New,1,1,0,1,1,164.61001146513485,0,0
East,Store,DSL,Basic,Existing,1,1,1,1,0,72.35755474313538,2,0
South,Store,DSL,Standard,Existing,1,1,1,1,0,163.38522816550793,1,0
East,Phone,Fiber,Basic,New,1,1,1,1,0,91.5619741446232,1,0
North,Phone,5G,Premium,Existing,1,1,1,1,0,130.44752792550327,1,0
North,Phone,5G,Standard,Existing,1,1,1,0,0,195.34259341364037,0,0
North,Store,DSL,Premium,New,1,0,1,1,1,47.085874847018005,1,0
West,Store,5G,Basic,Existing,1,1,1,1,0,67.30984553839426,1,0
North,Online,DSL,Basic,New,1,1,1,1,1,136.97612892306685,0,0
East,Store,DSL,Premium,Existing,1,1,1,1,0,48.01379711233487,2,0
North,Online,DSL,Basic,New,1,1,1,0,1,57.59633017088346,0,0
South,Phone,Fiber,Basic,New,1,1,1,1,0,138.07819737790697,1,0
South,Phone,5G,Basic,Existing,1,1,1,1,0,174.6343504255411,0,0
West,Phone,Fiber,Basic,Existing,1,1,0,1,0,127.31782268637627,0,0
South,Online,5G,Basic,Existing,1,1,1,1,0,69.88184044955548,0,0
East,Store,Fiber,Basic,Existing,0,1,1,1,1,61.02223283754911,0,0
North,Phone,Fiber,Basic,New,0,1,1,1,0,171.3013522879027,1,0
West,Store,DSL,Basic,Existing,1,1,1,1,0,184.4394257008102,0,0
North,Store,DSL,Premium,Existing,1,1,1,1,0,160.74984527650798,0,0
North,Phone,Fiber,Standard,Existing,1,1,1,1,0,75.122058792266,1,0
East,Online,5G,Basic,New,1,1,1,1,1,96.32617044810326,1,0
South,Store,5G,Premium,New,1,1,1,1,1,108.92108397562123,0,0
South,Phone,DSL,Basic,New,1,1,1,1,0,59.87746920278275,0,0
North,Store,DSL,Standard,New,1,1,1,1,1,80.54557179210136,0,0
West,Store,5G,Basic,New,1,1,1,1,1,156.2603571115287,0,0
South,Store,5G,Premium,Existing,1,1,1,1,0,165.18140108889676,0,0
West,Store,5G,Premium,Existing,0,1,1,1,1,69.19007312343938,2,0
South,Store,DSL,Standard,Existing,0,1,1,1,0,92.25923163467299,0,0
West,Online,5G,Basic,New,1,1,1,1,1,119.0954247897096,0,0
East,Online,DSL,Premium,Existing,1,1,1,1,0,68.01297560471076,0,0
West,Phone,Fiber,Standard,New,1,0,1,1,0,178.1042651073381,1,0
East,Online,Fiber,Standard,New,1,1,1,1,0,88.40890175957817,1,0
East,Online,Fiber,Basic,New,1,1,1,1,0,79.66262201855588,2,0
West,Online,5G,Premium,New,1,1,0,1,0,182.96922002677462,1,0
East,Store,DSL,Basic,New,1,1,1,1,0,147.78090161093772,1,0
North,Store,5G,Basic,Existing,0,1,1,1,1,121.99555747549503,1,0
East,Phone,DSL,Basic,Existing,1,1,1,1,0,57.1607413164749,1,0
South,Phone,5G,Premium,Existing,1,1,1,1,0,63.25000548837341,0,0
West,Phone,Fiber,Standard,Existing,1,1,1,1,0,75.81293411310588,1,0
North,Store,DSL,Basic,New,1,1,0,1,1,74.96664878401282,0,0
West,Online,5G,Basic,Existing,1,1,0,1,0,181.92276823661408,1,0
South,Online,DSL,Premium,Existing,1,1,0,1,1,190.69518756018516,0,0
South,Store,DSL,Basic,New,1,1,1,1,0,106.70314766434437,1,0
South,Phone,5G,Standard,New,0,1,1,1,0,72.09794341042269,0,0
East,Phone,5G,Basic,New,1,0,1,1,0,83.7913625653127,0,0
East,Phone,DSL,Standard,Existing,1,1,0,1,0,43.748648644048686,1,0
West,Store,DSL,Basic,Existing,1,1,1,1,0,74.41309625450346,0,0
West,Phone,Fiber,Basic,Existing,1,1,1,1,1,42.48128260008006,0,0
North,Phone,DSL,Basic,New,1,0,1,1,0,193.88228752787901,0,0
North,Store,Fiber,Standard,New,1,1,1,1,0,139.78245923042317,0,0
West,Online,Fiber,Basic,New,1,1,1,1,0,147.85922034853365,0,0
East,Store,Fiber,Basic,New,0,1,0,1,0,53.17567782247865,0,0
South,Store,DSL,Basic,New,1,1,0,1,0,113.76080966321865,0,0
West,Store,Fiber,Standard,New,1,1,1,1,0,109.07174192620332,0,0
North,Store,DSL,Basic,Existing,1,1,1,1,1,173.85561439249958,0,0
East,Online,DSL,Premium,New,1,1,0,1,0,164.70591428167089,0,0
West,Phone,5G,Standard,New,1,1,1,1,0,106.46910651590977,1,0
West,Store,DSL,Premium,New,1,1,1,1,1,156.4333473276322,2,0
East,Online,DSL,Basic,New,1,1,1,1,1,53.883511830940094,0,0
West,Phone,Fiber,Standard,New,1,1,1,1,0,80.5768760802227,1,0
East,Phone,DSL,Standard,New,1,1,1,1,1,67.23354314270453,2,0
South,Phone,DSL,Basic,New,1,1,1,1,0,156.07238075879343,0,0
East,Store,5G,Premium,New,1,1,1,1,1,181.29094487145582,0,0
East,Store,5G,Standard,New,1,1,1,1,0,138.98937379091183,1,0
East,Phone,Fiber,Standard,Existing,1,1,1,1,1,146.4060502558304,3,0
West,Phone,Fiber,Standard,Existing,1,0,1,1,1,134.55800684783242,1,0
West,Phone,5G,Standard,Existing,0,1,0,1,0,134.48865636666284,0,0
East,Phone,5G,Standard,Existing,1,1,1,0,0,73.89850612211731,1,0
West,Phone,DSL,Basic,New,1,1,1,1,0,42.936347449771226,0,0
North,Phone,Fiber,Standard,Existing,1,1,1,1,0,70.76244411064206,0,0
North,Online,Fiber,Premium,Existing,1,1,0,1,1,91.04786890240119,1,0
West,Phone,DSL,Standard,New,1,1,1,1,1,104.04256447796952,0,0
West,Store,DSL,Basic,New,1,0,1,1,1,155.4150019192689,0,0
East,Store,Fiber,Basic,New,1,1,1,1,0,42.49063511168791,2,0
South,Store,5G,Premium,New,1,0,1,1,0,132.73993617141952,0,0
West,Phone,5G,Standard,Existing,1,1,1,1,1,87.11302029962891,1,0
North,Store,DSL,Premium,New,1,1,1,0,1,68.8181827329876,2,1
East,Online,Fiber,Premium,New,1,1,1,1,0,85.43769470960184,0,0
West,Phone,DSL,Premium,New,1,1,1,1,0,98.67416424498447,0,0
